run,ss_id,datetime,forecast,outturn
2020-07-17 22:54:23,6144,2015-01-17 12:00:00,1354.1578,1275.2
2020-07-17 22:54:23,6144,2015-01-17 13:00:00,1087.0333,1278.9
2020-07-17 22:54:23,6144,2015-01-17 14:00:00,680.7268,807.8599999999999
2020-07-17 22:54:23,6144,2015-01-17 15:00:00,191.85172,164.38
2020-07-17 22:54:23,6144,2015-01-18 11:00:00,746.23755,771.46
2020-07-17 22:54:23,6144,2015-01-18 12:00:00,738.67346,1287.7
2020-07-17 22:54:23,6144,2015-01-18 13:00:00,651.85736,973.4200000000001
2020-07-17 22:54:23,6144,2015-01-18 14:00:00,364.4783,1017.44
2020-07-17 22:54:23,6144,2015-01-18 15:00:00,187.59561,584.9200000000001
2020-07-17 22:54:23,6144,2015-01-19 11:00:00,696.2269,1336.9
2020-07-17 22:54:23,6144,2015-01-19 12:00:00,916.3675,1393.95
2020-07-17 22:54:23,6144,2015-01-19 13:00:00,868.95337,1284.4
2020-07-17 22:54:23,6144,2015-01-19 14:00:00,709.551,1017.1
2020-07-17 22:54:23,6144,2015-01-19 15:00:00,388.3703,590.2
2020-07-17 22:54:23,6144,2015-01-20 11:00:00,938.9701,998.49
2020-07-17 22:54:23,6144,2015-01-20 12:00:00,1013.41046,391.15999999999997
2020-07-17 22:54:23,6144,2015-01-20 13:00:00,721.1974,987.96
2020-07-17 22:54:23,6144,2015-01-20 14:00:00,289.25156,320.09000000000003
2020-07-17 22:54:23,6144,2015-01-20 15:00:00,175.08179,144.98
2020-07-17 22:54:23,6144,2015-01-21 11:00:00,260.93097,9.26
2020-07-17 22:54:23,6144,2015-01-21 12:00:00,322.7156,48.589999999999996
2020-07-17 22:54:23,6144,2015-01-21 13:00:00,271.91217,83.19
2020-07-17 22:54:23,6144,2015-01-21 14:00:00,282.39636,117.60000000000001
2020-07-17 22:54:23,6144,2015-01-21 15:00:00,202.12624,49.989999999999995
2020-07-17 22:54:23,6144,2015-01-22 11:00:00,680.68646,320.49
2020-07-17 22:54:23,6144,2015-01-22 12:00:00,888.6264,395.88
2020-07-17 22:54:23,6144,2015-01-22 13:00:00,925.9301,320.01
2020-07-17 22:54:23,6144,2015-01-22 14:00:00,803.09094,370.7
2020-07-17 22:54:23,6144,2015-01-22 15:00:00,434.9894,145.89999999999998
2020-07-17 22:54:23,6144,2015-01-23 11:00:00,607.7451,1238.5
2020-07-17 22:54:23,6144,2015-01-23 12:00:00,605.11066,1298.25
2020-07-17 22:54:23,6144,2015-01-23 13:00:00,700.09454,1168.75
2020-07-17 22:54:23,6144,2015-01-23 14:00:00,607.90796,713.03
2020-07-17 22:54:23,6144,2015-01-23 15:00:00,325.00555,352.35
2020-07-17 22:54:23,6144,2015-01-24 10:00:00,483.34604,980.67
2020-07-17 22:54:23,6144,2015-01-24 11:00:00,802.76294,1350.9
2020-07-17 22:54:23,6144,2015-01-24 12:00:00,834.432,1381.1
2020-07-17 22:54:23,6144,2015-01-24 13:00:00,737.17175,1279.9499999999998
2020-07-17 22:54:23,6144,2015-01-24 14:00:00,549.58124,766.81
2020-07-17 22:54:23,6144,2015-01-24 15:00:00,282.61475,305.0
2020-07-17 22:54:23,6144,2015-01-25 10:00:00,563.1377,219.33
2020-07-17 22:54:23,6144,2015-01-25 11:00:00,695.0439,467.53000000000003
2020-07-17 22:54:23,6144,2015-01-25 12:00:00,600.9318,668.27
2020-07-17 22:54:23,6144,2015-01-25 13:00:00,558.80414,445.64
2020-07-17 22:54:23,6144,2015-01-25 14:00:00,425.86227,736.04
2020-07-17 22:54:23,6144,2015-01-25 15:00:00,187.39612,653.05
2020-07-17 22:54:23,6144,2015-01-26 10:00:00,230.86137,735.91
2020-07-17 22:54:23,6144,2015-01-26 11:00:00,278.53888,77.69
2020-07-17 22:54:23,6144,2015-01-26 12:00:00,499.8429,256.25
2020-07-17 22:54:23,6144,2015-01-26 13:00:00,691.73254,393.88
2020-07-17 22:54:23,6144,2015-01-26 14:00:00,628.45123,185.82999999999998
2020-07-17 22:54:23,6144,2015-01-26 15:00:00,432.47507,162.88
2020-07-17 22:54:23,6144,2015-01-27 10:00:00,413.32083,140.45
2020-07-17 22:54:23,6144,2015-01-27 11:00:00,836.7886,123.28
2020-07-17 22:54:23,6144,2015-01-27 12:00:00,539.285,128.82999999999998
2020-07-17 22:54:23,6144,2015-01-27 13:00:00,528.211,243.28
2020-07-17 22:54:23,6144,2015-01-27 14:00:00,622.18066,301.88
2020-07-17 22:54:23,6144,2015-01-27 15:00:00,309.67294,122.38999999999999
2020-07-17 22:54:23,6144,2015-01-28 10:00:00,126.0756,84.55000000000001
2020-07-17 22:54:23,6144,2015-01-28 11:00:00,385.4,161.43
2020-07-17 22:54:23,6144,2015-01-28 12:00:00,673.5816,350.28999999999996
2020-07-17 22:54:23,6144,2015-01-28 13:00:00,841.59485,537.7
2020-07-17 22:54:23,6144,2015-01-28 14:00:00,553.61926,1136.55
2020-07-17 22:54:23,6144,2015-01-28 15:00:00,459.50336,688.64
2020-07-17 22:54:23,6144,2015-01-29 10:00:00,443.27124,1097.28
2020-07-17 22:54:23,6144,2015-01-29 11:00:00,675.9516,1476.6
2020-07-17 22:54:23,6144,2015-01-29 12:00:00,732.5871,1151.02
2020-07-17 22:54:23,6144,2015-01-29 13:00:00,660.36554,909.24
2020-07-17 22:54:23,6144,2015-01-29 14:00:00,715.98157,146.53
2020-07-17 22:54:23,6144,2015-01-29 15:00:00,592.1978,94.06
2020-07-17 22:54:23,6144,2015-01-30 10:00:00,461.35315,829.73
2020-07-17 22:54:23,6144,2015-01-30 11:00:00,600.5949,1032.74
2020-07-17 22:54:23,6144,2015-01-30 12:00:00,1044.4591,867.44
2020-07-17 22:54:23,6144,2015-01-30 13:00:00,895.2745,281.59000000000003
2020-07-17 22:54:23,6144,2015-01-30 14:00:00,745.5411,422.1
2020-07-17 22:54:23,6144,2015-01-30 15:00:00,412.16202,572.8
2020-07-17 22:54:23,6144,2015-01-31 10:00:00,861.8318,110.84
2020-07-17 22:54:23,6144,2015-01-31 11:00:00,1129.7053,113.27
2020-07-17 22:54:23,6144,2015-01-31 12:00:00,1056.9801,493.49
2020-07-17 22:54:23,6144,2015-01-31 13:00:00,928.24695,559.4
2020-07-17 22:54:23,6144,2015-01-31 14:00:00,632.17053,121.76
2020-07-17 22:54:23,6144,2015-01-31 15:00:00,488.6111,140.97
2020-07-17 22:54:25,11715,2015-01-02 11:00:00,322.928,526.0
2020-07-17 22:54:25,11715,2015-01-02 12:00:00,752.5543,1019.0
2020-07-17 22:54:25,11715,2015-01-02 13:00:00,937.95844,1307.0
2020-07-17 22:54:25,11715,2015-01-02 14:00:00,507.87427,1135.0
2020-07-17 22:54:25,11715,2015-01-03 11:00:00,123.23181,48.0
2020-07-17 22:54:25,11715,2015-01-03 12:00:00,129.50345,21.0
2020-07-17 22:54:25,11715,2015-01-03 13:00:00,155.71939,58.0
2020-07-17 22:54:25,11715,2015-01-03 14:00:00,173.37212,104.0
2020-07-17 22:54:25,11715,2015-01-04 11:00:00,225.27374,137.0
2020-07-17 22:54:25,11715,2015-01-04 12:00:00,381.61597,297.0
2020-07-17 22:54:25,11715,2015-01-04 13:00:00,570.8057,478.0
2020-07-17 22:54:25,11715,2015-01-04 14:00:00,469.0913,402.0
2020-07-17 22:54:25,11715,2015-01-05 11:00:00,110.6316,511.0
2020-07-17 22:54:25,11715,2015-01-05 12:00:00,161.63625,519.0
2020-07-17 22:54:25,11715,2015-01-05 13:00:00,468.2657,425.0
2020-07-17 22:54:25,11715,2015-01-05 14:00:00,602.8652,244.0
2020-07-17 22:54:25,11715,2015-01-06 11:00:00,110.03672,81.0
2020-07-17 22:54:25,11715,2015-01-06 12:00:00,147.29025,28.0
2020-07-17 22:54:25,11715,2015-01-06 13:00:00,418.40842,65.0
2020-07-17 22:54:25,11715,2015-01-06 14:00:00,148.01697,243.0
2020-07-17 22:54:25,11715,2015-01-07 11:00:00,158.83704,126.0
2020-07-17 22:54:25,11715,2015-01-07 12:00:00,218.50826,136.0
2020-07-17 22:54:25,11715,2015-01-07 13:00:00,235.69304,122.0
2020-07-17 22:54:25,11715,2015-01-07 14:00:00,141.9463,107.0
2020-07-17 22:54:25,11715,2015-01-08 11:00:00,184.22641,8.0
2020-07-17 22:54:25,11715,2015-01-08 12:00:00,475.1115,46.0
2020-07-17 22:54:25,11715,2015-01-08 13:00:00,964.583,591.0
2020-07-17 22:54:25,11715,2015-01-08 14:00:00,937.7202,1139.0
2020-07-17 22:54:25,11715,2015-01-09 11:00:00,511.31036,775.0
2020-07-17 22:54:25,11715,2015-01-09 12:00:00,969.31256,1315.0
2020-07-17 22:54:25,11715,2015-01-09 13:00:00,585.55914,827.0
2020-07-17 22:54:25,11715,2015-01-09 14:00:00,414.11877,639.0
2020-07-17 22:54:25,11715,2015-01-10 11:00:00,204.83224,53.0
2020-07-17 22:54:25,11715,2015-01-10 12:00:00,508.84567,328.0
2020-07-17 22:54:25,11715,2015-01-10 13:00:00,990.40533,713.0
2020-07-17 22:54:25,11715,2015-01-10 14:00:00,1043.9841,365.0
2020-07-17 22:54:25,11715,2015-01-11 11:00:00,510.4409,622.0
2020-07-17 22:54:25,11715,2015-01-11 12:00:00,906.2829,1262.0
2020-07-17 22:54:25,11715,2015-01-11 13:00:00,884.9226,1239.0
2020-07-17 22:54:25,11715,2015-01-11 14:00:00,1066.8453,459.0
2020-07-17 22:54:25,11715,2015-01-11 15:00:00,478.80734,69.0
2020-07-17 22:54:25,11715,2015-01-12 11:00:00,30.362082,33.0
2020-07-17 22:54:25,11715,2015-01-12 12:00:00,33.917065,69.0
2020-07-17 22:54:25,11715,2015-01-12 13:00:00,52.241882,88.0
2020-07-17 22:54:25,11715,2015-01-12 14:00:00,36.822666,117.0
2020-07-17 22:54:25,11715,2015-01-12 15:00:00,47.709812,78.0
2020-07-17 22:54:25,11715,2015-01-13 11:00:00,494.10214,447.0
2020-07-17 22:54:25,11715,2015-01-13 12:00:00,725.3889,675.0
2020-07-17 22:54:25,11715,2015-01-13 13:00:00,947.4032,178.0
2020-07-17 22:54:25,11715,2015-01-13 14:00:00,672.0996,113.0
2020-07-17 22:54:25,11715,2015-01-13 15:00:00,180.47359,75.0
2020-07-17 22:54:25,11715,2015-01-15 11:00:00,295.36478,723.0
2020-07-17 22:54:25,11715,2015-01-15 12:00:00,766.53345,1458.0
2020-07-17 22:54:25,11715,2015-01-15 13:00:00,1162.809,273.0
2020-07-17 22:54:25,11715,2015-01-15 14:00:00,828.6289,682.0
2020-07-17 22:54:25,11715,2015-01-15 15:00:00,240.23227,684.0
2020-07-17 22:54:25,11715,2015-01-16 11:00:00,316.32895,207.0
2020-07-17 22:54:25,11715,2015-01-16 12:00:00,299.27475,427.0
2020-07-17 22:54:25,11715,2015-01-16 13:00:00,234.22609,890.0
2020-07-17 22:54:25,11715,2015-01-16 14:00:00,291.28912,1183.0
2020-07-17 22:54:25,11715,2015-01-16 15:00:00,233.93018,723.0
